"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Bangladesh","BGD","Total greenhouse gas emissions excluding LULUCF (Mt CO2e)","EN.GHG.ALL.MT.CE.AR5","","","","","","","","","","","130.9808","124.348","126.498","127.7775","126.693","132.1867","129.0873","130.705","134.3892","136.5065","129.8474","130.5923","132.5994","126.8678","129.8386","132.5562","135.4699","134.5433","135.6219","139.3619","139.8799","138.2286","139.8571","139.3457","141.4616","146.7325","147.7328","149.1849","148.529","154.9176","156.8248","163.7475","168.1048","171.7727","173.3896","179.5245","185.3383","190.4348","201.8377","207.1546","216.4088","220.924","226.4996","231.7975","238.0513","248.0577","255.6521","268.1726","278.8758","276.824","269.0008","276.7671","281.0516","",
"Bulgaria","BGR","Total greenhouse gas emissions excluding LULUCF (Mt CO2e)","EN.GHG.ALL.MT.CE.AR5","","","","","","","","","","","91.6519","92.3762","95.3174","96.4925","97.4564","103.9945","104.912","107.8878","114.0975","118.0962","121.6493","118.0631","120.128","119.0759","117.0846","118.5832","119.625","119.7033","119.023","117.1219","104.9536","90.7612","85.873","85.1008","79.3419","77.5097","77.9819","75.1407","72.1514","64.936","63.1098","64.9141","61.5297","67.5763","65.8722","66.7248","68.1048","71.8424","68.6208","60.3835","63.1515","68.7905","63.4707","58.0696","60.56","64.8752","62.5633","65.2857","62.0679","60.6761","56.0453","63.3309","68.383","",
"Bahrain","BHR","Total greenhouse gas emissions excluding LULUCF (Mt CO2e)","EN.GHG.ALL.MT.CE.AR5","","","","","","","","","","","18.2131","18.3758","19.3329","20.7386","22.3497","20.1862","21.1559","24.0959","23.9462","24.8294","24.7265","24.9264","25.2479","25.032","25.1482","26.3885","28.7225","28.051","29.1163","29.4151","30.2241","29.6663","34.1351","36.3767","36.3848","36.2767","37.6653","35.2413","36.8668","39.0113","39.5998","40.7424","40.333","40.0349","39.9385","43.733","45.5498","46.7979","50.5527","51.1705","51.6987","52.0644","55.8954","60.7226","62.7598","62.9367","63.1305","62.9965","63.3053","67.4329","67.6347","69.4341","69.9762","",
"Bahamas, The","BHS","Total greenhouse gas emissions excluding LULUCF (Mt CO2e)","EN.GHG.ALL.MT.CE.AR5","","","","","","","","","","","1.586","1.622","1.889","1.8854","1.6683","1.711","1.5345","1.6904","1.7146","1.7647","1.7444","1.5646","1.3295","1.0327","1.0247","0.9373","0.9776","1.1211","1.1469","1.3104","1.2899","1.2009","1.0755","1.108","1.1794","1.3377","1.4735","1.4742","1.6624","1.472","1.2304","1.2496","1.3274","1.0772","1.158","1.1451","1.3511","1.5855","1.6423","1.4214","1.5764","1.1921","1.3876","1.5218","1.5215","1.4614","1.5744","1.6751","1.9501","2.1271","1.8707","1.8231","1.8816","",
"Bosnia and Herzegovina","BIH","Total greenhouse gas emissions excluding LULUCF (Mt CO2e)","EN.GHG.ALL.MT.CE.AR5","","","","","","","","","","","16.3595","16.7069","16.3116","17.5445","18.988","19.5407","19.4804","20.07","20.8598","21.5698","20.9273","22.9972","24.0738","25.5186","26.5438","27.6103","28.4574","26.8684","27.0487","27.3605","32.5927","29.5399","22.6317","19.3552","6.359","6.3851","7.0957","12.4088","15.58","16.0185","19.7512","19.2701","20.38","20.8035","22.3165","23.065","25.2418","26.4993","27.9652","27.747","28.2779","31.5653","29.4722","29.2906","27.8243","27.7786","30.8009","31.3937","31.8189","30.1425","30.0505","29.1119","29.141","",
"Belarus","BLR","Total greenhouse gas emissions excluding LULUCF (Mt CO2e)","EN.GHG.ALL.MT.CE.AR5","","","","","","","","","","","82.257","84.0926","88.1461","92.9391","97.54","103.8183","106.744","108.7142","112.4466","115.0608","118.1753","117.6366","118.8104","120.5126","121.8395","123.3477","126.2511","129.5456","129.954","131.018","137.5282","132.7556","121.2141","106.9806","93.3526","84.6824","84.9516","85.0157","83.4589","81.0115","78.0214","76.6796","76.6215","77.2172","81.2314","81.3821","84.2966","82.9171","90.6657","88.0041","93.2146","103.2419","105.0777","105.6241","105.0572","100.5272","99.7185","101.4008","104.7189","102.7209","100.0606","102.4866","99.8742","",
"Belize","BLZ","Total greenhouse gas emissions excluding LULUCF (Mt CO2e)","EN.GHG.ALL.MT.CE.AR5","","","","","","","","","","","0.2932","0.3146","0.3337","0.339","0.3447","0.3645","0.3572","0.3692","0.37","0.3719","0.3772","0.376","0.3745","0.3961","0.3888","0.3872","0.4115","0.4003","0.3926","0.4413","0.4954","0.5142","0.511","0.496","0.4963","0.4801","0.4664","0.5562","0.5742","0.6162","0.5288","0.554","0.5669","0.5973","0.577","0.6011","0.6897","0.7234","0.7354","0.795","0.8353","0.815","0.7923","0.8689","0.8165","0.8591","0.8815","0.9247","0.9092","0.9362","0.9082","0.9491","0.9766","",
"Bermuda","BMU","Total greenhouse gas emissions excluding LULUCF (Mt CO2e)","EN.GHG.ALL.MT.CE.AR5","","","","","","","","","","","0.1642","0.1658","0.1967","0.1989","0.1806","0.2141","0.1968","0.2147","0.2148","0.2129","0.2112","0.1843","0.1838","0.1889","0.2028","0.1987","0.1954","0.2831","0.3275","0.4003","0.2731","0.2518","0.2056","0.2273","0.2202","0.2222","0.2267","0.23","0.2353","0.2295","0.1721","0.174","0.1873","0.1938","0.1978","0.2093","0.2482","0.2959","0.297","0.2649","0.3281","0.1801","0.2096","0.2392","0.306","0.254","0.3295","0.298","0.346","0.3806","0.3534","0.3419","0.3539","",
"Bolivia","BOL","Total greenhouse gas emissions excluding LULUCF (Mt CO2e)","EN.GHG.ALL.MT.CE.AR5","","","","","","","","","","","27.4332","28.4646","33.4399","35.1917","35.0266","33.8541","35.2309","33.0092","34.1261","32.1457","31.537","29.4448","30.7625","31.6526","30.1188","30.368","28.0397","29.1483","29.9417","31.6104","31.2785","33.0759","34.4557","36.6391","38.7746","31.1674","30.9865","34.4633","31.2229","31.2335","31.2114","30.1606","31.7333","33.0009","35.2379","36.4679","37.7726","40.0792","41.4077","42.2704","46.2587","47.4181","49.8608","52.3693","53.6472","54.5916","56.1381","56.6094","56.8969","57.1439","53.9489","58.2922","58.463","",
"Brazil","BRA","Total greenhouse gas emissions excluding LULUCF (Mt CO2e)","EN.GHG.ALL.MT.CE.AR5","","","","","","","","","","","365.2611","373.696","394.4433","422.0545","449.7443","471.8704","508.8325","525.4087","540.6242","563.8921","592.1855","581.7772","590.8568","586.6056","607.0234","622.1426","657.4658","675.2555","689.573","700.0026","695.6381","721.9208","744.7379","771.0107","799.1751","837.0766","844.6529","872.3311","890.2686","907.7264","934.7085","950.3397","975.5655","1008.2486","1058.9792","1067.4589","1075.505","1092.2682","1122.3846","1098.2621","1177.712","1212.9225","1250.5755","1288.0647","1323.6088","1307.9689","1285.09","1298.0216","1274.9477","1281.4619","1277.6894","1343.1411","1310.4989","",
